start month,start year,end month,end year,Lamas num,case num,road num,road name,semel yishuv,shem yishuv,shem medaveach,sug slila,road len,road width,road area,road type,way type
3,2023,3,2023,21201,,0,לילינבלום,8500,רמלה,עיריית רמלה,הרחבת כביש,55,10,550,מצופה אספלט,עירונית
11,1994,1,1996,1147,0 0,0,מלכי יהודה,6400,הרצלייה,עיריית הרצליה,סלילת כביש,300,7,2100,מצופה אספלט,אזורית
1,2020,3,2020,17506,0 0,0,מתחם 9,1031,שדרות,עיריית שדרות,סלילת כביש,3500,9,31500,מצופה אספלט,עירונית
10,2019,12,2019,17635,0 0,0,כביש מספר 6 קטע 3,494,דאלית אל-כרמל,מועצה מקומית דליית אל כרמל,הרחבה ושיקום,100,10,1000,מצופה אספלט,עירונית
10,1994,9,1996,3357,17755 0,0,אופקים,9999,כביש בין ישובים,משרד הבינוי והשיכון תל אביב,סלילת כביש,2250,6,13500,מצופה אספלט,עירונית
8,2019,2,2020,17312,0 0,0,רח הגליל כניסה לשכ כנען,8000,צפת,עיריית צפת,הרחבה ושיקום,170,12,2040,מצופה אספלט,ראשית
5,2022,9,2022,20661,,0,בני חייל,8300,ראשון לציון,עיריית ראשון לציון,שיקום כביש,250,10,2500,מרוצף,עירונית
8,2023,8,2023,22132,,0,טמרה,8900,טמרה,עיריית טמרה,שיקום כביש,77,10,770,מצופה אספלט,עירונית
1,2017,3,2017,14926,0 0,32767,כביש 50 בגין,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,2500,7,18000,מצופה אספלט,ראשית
6,2010,10,2010,8732,0 0,0,כביש גישה לכהמון,7600,עכו,עיריית עכו,הרחבה ושיקום,400,19,7440,מצופה אספלט,עירונית
8,2016,9,2016,14635,52 15,0,כביש 90,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,700,7,4900,מצופה אספלט,ראשית
10,2012,12,2012,10485,0 0,0,כביש גישה מכביש 90,1151,פארן,מועצה אזורית הערבה התיכונה,הרחבה ושיקום,2000,8,16000,מצופה אספלט,גישה
1,2009,3,2009,8198,0 0,0,מסובים כניסה,8600,רמת גן,עיריית רמת גן,שיקום כביש,140,7,951,מצופה אספלט,עירונית
10,2012,12,2012,10322,0 0,558,בת גלים,4000,חיפה,עיריית חיפה,הרחבת כביש,100,8,800,מצופה אספלט,עירונית
3,1994,12,1997,2984,107590 0,0,יציאת אירופה,6500,חדרה,עיריית חדרה,הרחבה ושיקום,200,7,1400,מצופה אספלט,עירונית
4,2021,8,2021,19127,,0,בני יהודה,4015,בני יהודה,מועצה אזורית גולן,הרחבה ושיקום,740,6,4070,מצופה אספלט,עירונית
2,2017,12,2017,14414,43 0,77,43\B,498,טורעאן,מועצה מקומית טורעאן,הרחבה ושיקום,100,12,1200,מצופה אספלט,ראשית
